#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_dwarf_keep_1;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_1_desc;Dwarf stone and Dwarf arms guard the heart of the fortress.;;;;;;;;;;;;;x
ca_dwarf_keep_2;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_3;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_4;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_5;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_fort_1;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_1_desc;Dwarf stone and Dwarf arms guard the heart of the fortress.;;;;;;;;;;;;;x
ca_dwarf_fort_2;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_3;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_4;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_5;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_barracks_1;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_1_desc;A strong bulwark against the outside world provides the first line of Dwarf defences.;;;;;;;;;;;;;x
ca_dwarf_barracks_2;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_3;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_4;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_5;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_cannon_1;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_1_desc;Great smelting furnaces and casting molds allow for the production of the legendary Dwarf cannons.;;;;;;;;;;;;;x
ca_dwarf_cannon_2;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_3;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_4;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_5;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_workshop_1;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_1_desc;A manufacturing centre attracts artisans and merchants.;;;;;;;;;;;;;x
ca_dwarf_workshop_2;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_3;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_4;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_5;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_mine_1;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_1_desc;Exploratory mine shafts provide small amounts of valuable metal ores and stone.;;;;;;;;;;;;;x
ca_dwarf_mine_2;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_3;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_4;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_5;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_missile_1;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_1_desc;Quarrelers practice their aim at this small range.;;;;;;;;;;;;;x
ca_dwarf_missile_2;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_3;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_4;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_5;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_temple_1;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_1_desc;A shrine to the ancestors is a necessity for any Dwarf hold.;;;;;;;;;;;;;x
ca_dwarf_temple_2;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_3;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_4;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_5;Ancestor Shrine;;;;;;;;;;;;;x
ca_human_fort_1;Fortifications;;;;;;;;;;;;;x
ca_human_fort_1_desc;The castle is dedicated to resisting attacks with strong walls and a solid garrison.;;;;;;;;;;;;;x
ca_human_fort_2;Fortifications;;;;;;;;;;;;;x
ca_human_fort_3;Fortifications;;;;;;;;;;;;;x
ca_human_fort_4;Fortifications;;;;;;;;;;;;;x
ca_human_fort_5;Fortifications;;;;;;;;;;;;;x
ca_human_castletown_1;Town;;;;;;;;;;;;;x
ca_human_castletown_1_desc;A small town is allowed to form around the castle, encompassed by curtain walls. The increased population and sprawl makes the castle harder to hold in a siege, but the settlement provides additional tax income and levies.;;;;;;;;;;;;;x
ca_human_castletown_2;Town;;;;;;;;;;;;;x
ca_human_castletown_3;Town;;;;;;;;;;;;;x
ca_human_castletown_4;Town;;;;;;;;;;;;;x
ca_human_castletown_5;Town;;;;;;;;;;;;;x
ca_human_seafort_1;Port Fortifications;;;;;;;;;;;;;x
ca_human_seafort_1_desc;The castle fortifications are extended around a dedicated shipyard and port.;;;;;;;;;;;;;x
ca_human_seafort_2;Port Fortifications;;;;;;;;;;;;;x
ca_human_seafort_3;Port Fortifications;;;;;;;;;;;;;x
ca_human_seafort_4;Port Fortifications;;;;;;;;;;;;;x
ca_human_seafort_5;Port Fortifications;;;;;;;;;;;;;x
ca_human_seacastletown_1;Port Town;;;;;;;;;;;;;x
ca_human_seacastletown_1_desc;A small port town is allowed to form around the castle, encompassed by curtain walls. The increased population and sprawl makes the castle harder to hold in a siege, but the settlement provides additional tax income and levies.;;;;;;;;;;;;;x
ca_human_seacastletown_2;Port Town;;;;;;;;;;;;;x
ca_human_seacastletown_3;Port Town;;;;;;;;;;;;;x
ca_human_seacastletown_4;Port Town;;;;;;;;;;;;;x
ca_human_seacastletown_5;Port Town;;;;;;;;;;;;;x
ca_steppe_fort_1;Light Fortifications;;;;;;;;;;;;;x
ca_steppe_fort_1_desc;The hold is reinforced to resist attack.;;;;;;;;;;;;;x
