#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME1700000202;The Sword in the Stone;;;;;;;;;;;;;x
EVTDESC1700000202;You decide to take a stroll in the countryside to relieve some stress. Whilst walking you come upon a large stone in a clearing. What makes this stone unusual is the large sword buried in it, with only the bejewelled hilt visible.;;;;;;;;;;;;;x
EVTOPTA1700000202;I feel drawn to the power of this artifact.;;;;;;;;;;;;;x
EVTOPTB1700000202;What is this? Someone's idea of a practical joke?;;;;;;;;;;;;;x
EVTOPTC1700000202;Look at the size of those gemstones!;;;;;;;;;;;;;x
EVTOPTD1700000202;A sword in a stone? That's it, I'm out of here.;;;;;;;;;;;;;x
EVTNAME1700000203;You Approach the Stone;;;;;;;;;;;;;x
EVTDESC1700000203;As you draw near, you feel the power of the stone fill you. You feel you could do anything.;;;;;;;;;;;;;x
EVTOPTA1700000203;I shall claim it for my own!;;;;;;;;;;;;;x
EVTOPTB1700000203;I will examine the weapon first.;;;;;;;;;;;;;x
EVTNAME1700000204;A Chance for Some Fun;;;;;;;;;;;;;x
EVTDESC1700000204;If this is a joke, maybe we can use it to our benefit.;;;;;;;;;;;;;x
EVTOPTA1700000204;I will embarrass my vassal.;;;;;;;;;;;;;x
EVTOPTB1700000204;I will embarrass my courtier.;;;;;;;;;;;;;x
EVTOPTC1700000204;I will embarrass my spouse.;;;;;;;;;;;;;x
EVTOPTD1700000204;A joke like this would be mean. I'll just go home.;;;;;;;;;;;;;x
EVTNAME1700000205;You Approach the Stone;;;;;;;;;;;;;x
EVTDESC1700000205;As you draw near, you see the many jewels sparkle in the sunlight. Each is most likely worth a small fortune.;;;;;;;;;;;;;x
EVTOPTA1700000205;I bet I can get these jewels and make a fortune.;;;;;;;;;;;;;x
EVTOPTB1700000211;I will examine the weapon first.;;;;;;;;;;;;;x
EVTNAME1700000206;You Place Your Hands on the Sword;;;;;;;;;;;;;x
EVTDESC1700000206;You stand next to the stone and place both hands on the sword. In a moment you will try to remove it from its prison.;;;;;;;;;;;;;x
EVTOPTA1700000206;This will be easy...;;;;;;;;;;;;;x
EVTTOOLTIP1700000212;;;;;;;;;;;;;;x
EVTTOOLTIP1700000213;;;;;;;;;;;;;;x
EVTOPTB1700000206;This will be difficult...;;;;;;;;;;;;;x
EVTTOOLTIP1700000212;TEXTNAME;;;;;;;;;;;;;x
EVTTOOLTIP1700000213;TEXTNAME;;;;;;;;;;;;;x
EVTOPTC1700000206;This will be impossible...;;;;;;;;;;;;;x
EVTTOOLTIP1700000213;TEXTNAME;;;;;;;;;;;;;x
EVTTOOLTIP1700000212;TEXTNAME;;;;;;;;;;;;;x
EVTNAME1700000207;You Take a Closer Look at the Sword;;;;;;;;;;;;;x
EVTDESC1700000207;You approach the sword and take a closer look at the markings on it. Your head swims and your vision blurs as you try to understand the meaning of the runes.;;;;;;;;;;;;;x
#Temptation Events
temptation.1;The Embrace of Uncle Nurgle;;;;;;;;;;;;;x
temptation.1_desc;The Plague Father, Fly Lord, Great Corruptor, the Master of Pestilence... Old Uncle Nurgle has many titles. Within your very mind and soul you hear the maddened buzzing of a billion flies, and a chorus of choking, coughing voices whispering in your ears. They are calling you to join them in the endless bliss of utter pestilence and decay, to cast aside the facade of health and embrace the utter rottenness that is the inevitable fate of all life.;;;;;;;;;;;;;x
Temptation.1.TOOLTIP1;Uncle Nurgle loves his childern, he he he...;;;;;;;;;;;;;x
Temptation.1.TOOLTIP2;[Root.Religion.GetRandomGodName] will give me the strength to resist this sickness in my heart!;;;;;;;;;;;;;x
temptation.2;The Seductions of the Prince of Pleasure;;;;;;;;;;;;;x
temptation.2_desc;Truth, beauty,, honour, justice... what do any of these things mean without pleasure? Are not the senses of Man his guide into the divine? Poetry, music, dance, wine, none of it is enough for one of your intellect and needs. Your body and mind yearn for stimulation, to seek out new experiences. You tire of the restraints of so-called "civilised society," and wonder if it might be better to seek out likeminded spirits and experiment with a new lifestyle beyond mere mortal hedonism? Your inquiring mind and almost uncontrollable lust for life leads you to the Forbidden Lord of Excess, Slaanesh, who can offer you all you desire in return for so little…?;;;;;;;;;;;;;x 
temptation.2.TOOLTIP1;Ah, what sweet ecstasy is this… I must have more!;;;;;;;;;;;;;x
temptation.2.TOOLTIP2;No, no, I have gone too far... [Root.Religion.GetRandomGodName] forgive me.;;;;;;;;;;;;;x
temptation.3;The Changer of Ways Calls Ye;;;;;;;;;;;;;x
temptation.3_desc;The ignorant masses cling to their Gods and laws, unaware of their own utter insignificance in the grand scheme of things. Civilisations and races rise and fall, the only constant is change - all else is illusion. One of your genius knows that the only way to survive and achieve greatness on this mortal coil is to understand the vast immaterial power of magic, and to use any means necessary to acquire that knowledge. You know that the parlour tricks of the common wizard are merely a pale reflection of the incredible powers that close-minded religious dogma denies to you. In order to better understand the Winds of Magic, and to further your own career, you've considered entering a purely temporary relationship with the demonic called Tzeentch in order to use him for your own ends.;;;;;;;;;;;;;;x  
temptation.3.TOOLTIP1;Knowlegde is power.;;;;;;;;;;;;;x
temptation.3.TOOLTIP2;Some secerts must be forever hidden.;;;;;;;;;;;;;x
temptation.4;The Eight-Fold Path;;;;;;;;;;;;;x
