#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_fine;The Fine;;;;;;;;;;;;;x
nick_the_monumentally_cruel;The Monumentally Cruel;;;;;;;;;;;;;x
nick_the_incompetent;The Incompetent;;;;;;;;;;;;;x
nick_the_lawgiver;The Lawgiver;;;;;;;;;;;;;x
nick_the_furious;The Furious;;;;;;;;;;;;;x
nick_the_opulent;The Opulent;;;;;;;;;;;;;x
nick_skavenslayer;Skavenslayer;;;;;;;;;;;;;x
nick_the_unjust;The Unjust;;;;;;;;;;;;;x
nick_the_stout;The Stout;;;;;;;;;;;;;x
nick_the_lawless;The Lawless;;;;;;;;;;;;;x
nick_heldenhammer;Heldenhammer;;;;;;;;;;;;;x
nick_the_besieger;The Besieger;;;;;;;;;;;;;x
nick_the_black;The Black;;;;;;;;;;;;;x
nick_the_pious;The Pious;;;;;;;;;;;;;x
nick_grudgebearer;Grudgebearer;;;;;;;;;;;;;x
nick_the_terrible;The Terrible;;;;;;;;;;;;;x
nick_the_lunatic;The Lunatic;;;;;;;;;;;;;x
nick_the_bloody;The Bloody;;;;;;;;;;;;;x
nick_ursus;Ursus;;;;;;;;;;;;;x
nick_the_uniter;The Uniter;;;;;;;;;;;;;x
nick_orc_slayer;Orc Slayer;;;;;;;;;;;;;x
nick_the_enormous;The Enormous;;;;;;;;;;;;;x
nick_the_jouster;The Jouster;;;;;;;;;;;;;x
nick_dragon_slayer;Dragon Slayer;;;;;;;;;;;;;x
nick_the_rash;The Rash;;;;;;;;;;;;;x
