#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCUDSYL.1;Sylvania is a dangerous place for all live, but a lovely country if you are a Vampire.;;;;;;;;;;;;;x
EVTOPTAUDSYL.1;I'll rule on this accursed land.;;;;;;;;;;;;;x
EVTOPTBUDSYL.1;I've found my perfect lair.;;;;;;;;;;;;;x
EVTDESCUDSYL.2;My lands are suffering the effects of dark forces. Dead men arise while huge flocks of bats darkened the skies.;;;;;;;;;;;;;x
EVTOPTAUDSYL.2;Damn. I can't do anything to stop it.;;;;;;;;;;;;;x
EVTDESCUDSYL.3;With my efforts, the lands of Sylvania are growing up again. Crops grow and people live safely under my rule.;;;;;;;;;;;;;x
EVTOPTAUDSYL.3;I'm a great ruler.;;;;;;;;;;;;;x
EVTDESCUDSYL.4;With my powerful magic, Sylvania is getting stronger. The dead will rise again and more serfs will come to me.;;;;;;;;;;;;;x
EVTOPTAUDSYL.4;I will live for eternity.;;;;;;;;;;;;;x
EVTDESCUDSYL.5;I've not paid enough attention to the care of my land, and now, my loyal servants leave, pursued by hunters and templars.;;;;;;;;;;;;;x
EVTOPTAUDSYL.5;I don't care of mortal affairs.;;;;;;;;;;;;;x
EVTDESCUDSYL.6;I've conquered the land, and now I will increase my armies with the dead's bodies, and local necromancers.;;;;;;;;;;;;;x
EVTOPTAUDSYL.6;I'm unstoppable.;;;;;;;;;;;;;x
EVTDESCUDSYL.7;I've conquered the land, and now I have to face down armies of dead and vampire servants.;;;;;;;;;;;;;x
EVTOPTAUDSYL.7;I shall prevail.;;;;;;;;;;;;;x
EVTDESCUDSYL.8;Send money to a loyal sigmarite to fight undead.;;;;;;;;;;;;;x
EVTOPTAUDSYL.8;Send the money.;;;;;;;;;;;;;x
EVTOPTBUDSYL.8;Don't send the money.;;;;;;;;;;;;;x
EVTDESCUDSYL.9;Great Theogonist [FROM.GetFirstName] has send us money to fight undead.;;;;;;;;;;;;;x
EVTOPTAUDSYL.9;I'll waste it well.;;;;;;;;;;;;;x
EVTDESCUDSYL.10;What will I do with the money Great Theogonist sended me?;;;;;;;;;;;;;x
EVTOPTAUDSYL.10;Hire some adventurers.;;;;;;;;;;;;;x
EVTOPTBUDSYL.10;I'll lead a hunting party.;;;;;;;;;;;;;x
EVTOPTCUDSYL.10;I'll keep the money for me.;;;;;;;;;;;;;x
EVTDESCUDSYL.11;A strange and hooded man approaches, offering you his services to fight sylvanian dangers.;;;;;;;;;;;;;x
EVTOPTAUDSYL.11;Let him in, as he will serve me well.;;;;;;;;;;;;;x
EVTOPTBUDSYL.11;I don't trust strangers, send him far away.;;;;;;;;;;;;;x
EVTOPTCUDSYL.11;He's a witch! Burn him! Buuurn hiiiiim!;;;;;;;;;;;;;x
TOOLTIPOPTCUDSYL11;There is a chance that the man escapes, wounding you in gratitude for your hospitality.;;;;;;;;;;;;;x
