#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
old_imperial_group;Old Imperial;;;;;;;;;;;;;x
immortal_imperial;Imperial Immortals;;;;;;;;;;;;;x
unberogen;Unberogen;;;;;;;;;;;;;x
brigundian;Brigundian;;;;;;;;;;;;;x
thuringian;Thuringian;;;;;;;;;;;;;x
cherusen;Cherusen;;;;;;;;;;;;;x
teutogen;Teutogen;;;;;;;;;;;;;x
ostagoth;Ostagoth;;;;;;;;;;;;;x
udose;Udose;;;;;;;;;;;;;x
menogoth;Menogoth;;;;;;;;;;;;;x
asoborn;Asoborn;;;;;;;;;;;;;x
taleuten;Taleuten;;;;;;;;;;;;;x
endal;Endal;;;;;;;;;;;;;x
merogen;Merogen;;;;;;;;;;;;;x
fennone;Fennone;;;;;;;;;;;;;x
juton;Juton;;;;;;;;;;;;;x
astur;Astur;;;;;;;;;;;;;x
norteno;Norteno;;;;;;;;;;;;;x
tigarrese;Tigarrese;;;;;;;;;;;;;x
avilian;Avilian;;;;;;;;;;;;;x
galice;Galice;;;;;;;;;;;;;x
obregonese;Obregonese;;;;;;;;;;;;;x
montanese;Montanese;;;;;;;;;;;;;x
tierrasman;Tierrasman;;;;;;;;;;;;;x
estalian_group;Estalian;;;;;;;;;;;;;x
lucian;Lucian;;;;;;;;;;;;;x
umbrian;Umbrian;;;;;;;;;;;;;x
reman;Reman;;;;;;;;;;;;;x
miraglian;Miraglian;;;;;;;;;;;;;x
tobaran;Tobaran;;;;;;;;;;;;;x
oltremari;Oltremari;;;;;;;;;;;;;x
tilean_group;Tilean;;;;;;;;;;;;;x
sartosan_tilean;Tilean-Sartosan;;;;;;;;;;;;;x
sartosan_norscan;Norscan-Sartosan;;;;;;;;;;;;;x
sartosan_arabyan;Arabyan-Sartosan;;;;;;;;;;;;;x
sartosan_group;Sartosan;;;;;;;;;;;;;x
averlander;Averlander;;;;;;;;;;;;;x
drakwalder;Drakwalder;;;;;;;;;;;;;x
hochlander;Hochlander;;;;;;;;;;;;;x
middenlander;Middenlander;;;;;;;;;;;;;x
nordlander;Nordlander;;;;;;;;;;;;;x
ostermarker;Ostermarker;;;;;;;;;;;;;x
ostlander;Ostlander;;;;;;;;;;;;;x
reiklander;Reiklander;;;;;;;;;;;;;x
sollander;Sollander;;;;;;;;;;;;;x
stirlander;Stirlander;;;;;;;;;;;;;x
sylvanian;Sylvanian;;;;;;;;;;;;;x
talabeclander;Talabeclander;;;;;;;;;;;;;x
westerlander;Westerlander;;;;;;;;;;;;;x
wissenlander;Wissenlander;;;;;;;;;;;;;x
neueslander;Neueslander;;;;;;;;;;;;;x
imperial_group;Imperial;;;;;;;;;;;;;x
kislevite;Kislevite;;;;;;;;;;;;;x
gospodar;Gospodar;;;;;;;;;;;;;x
ungol;Ungol;;;;;;;;;;;;;x
ropsmann;Ropsmann;;;;;;;;;;;;;x
kyazak;Kyazak;;;;;;;;;;;;;x
kislevite_group;Kislevite;;;;;;;;;;;;;x
myken_group;Myken;;;;;;;;;;;;;x
myken;Myken;;;;;;;;;;;;;x
armoric;Armoric;;;;;;;;;;;;;x
bourgon;Bourgon;;;;;;;;;;;;;x
breton;Breton;;;;;;;;;;;;;x
gisoren;Gisoren;;;;;;;;;;;;;x
carcassian;Carcassian;;;;;;;;;;;;;x
gascon;Gascon;;;;;;;;;;;;;x
mousillonian;Mousillonian;;;;;;;;;;;;;x
nortagnese;Nortagnese;;;;;;;;;;;;;x
marcheur;Marcheur;;;;;;;;;;;;;x
bretonnian_group;Bretonnian;;;;;;;;;;;;;x
aesling;Aesling;;;;;;;;;;;;;x
baersonling;Baersonling;;;;;;;;;;;;;x
bjornling;Bjornling;;;;;;;;;;;;;x
graeling;Graeling;;;;;;;;;;;;;x
sarl;Sarl;;;;;;;;;;;;;x
skaeling;Skaeling;;;;;;;;;;;;;x
varg;Varg;;;;;;;;;;;;;x
fjarmann;Fjarmann;;;;;;;;;;;;;x
norscan_group;Norscan;;;;;;;;;;;;;x
orc_main;Orc;;;;;;;;;;;;;x
goblin_main;Goblin;;;;;;;;;;;;;x
orc_group;Orc;;;;;;;;;;;;;x
goblin_group;Goblin;;;;;;;;;;;;;x
amazon_main;Amazon;;;;;;;;;;;;;x
amazon_group;Amazon;;;;;;;;;;;;;x
ogre_main;Ogre;;;;;;;;;;;;;x
ogre_group;Ogre;;;;;;;;;;;;;x
skryre;Skryre;;;;;;;;;;;;;x
eshin;Eshin;;;;;;;;;;;;;x
moulder;Moulder;;;;;;;;;;;;;x
pestilens;Pestilens;;;;;;;;;;;;;x
skaven_main;Skaven;;;;;;;;;;;;;x
skaven_group;Skaven;;;;;;;;;;;;;x
loren;Loren;;;;;;;;;;;;;x
laurelornalim;Laurelornalim;;;;;;;;;;;;;x
asrai_group;Asrai;;;;;;;;;;;;;x
avelorni;Avelorni;;;;;;;;;;;;;x
yvressi;Yvressi;;;;;;;;;;;;;x
sapherian;Sapherian;;;;;;;;;;;;;x
eataini;Eataini;;;;;;;;;;;;;x
caledori;Caledori;;;;;;;;;;;;;x
ellyrian;Ellyrian;;;;;;;;;;;;;x
chracian;Chracian;;;;;;;;;;;;;x
cothiq;Cothiq;;;;;;;;;;;;;x
tiranoci;Tiranoci;;;;;;;;;;;;;x
nagarythi;Nagarythi;;;;;;;;;;;;;x
asur_group;Asur;;;;;;;;;;;;;x
lathai;Lathai;;;;;;;;;;;;;x
arvani;Arvani;;;;;;;;;;;;;x
asthoi;Asthoi;;;;;;;;;;;;;x
naggarondi;Naggarondi;;;;;;;;;;;;;x
ghrondari;Ghrondari;;;;;;;;;;;;;x
elthrai;Elthrai;;;;;;;;;;;;;x
ganethi;Ganethi;;;;;;;;;;;;;x
khlari;Khlari;;;;;;;;;;;;;x
kynthi;Kynthi;;;;;;;;;;;;;x
druchi_group;Druchi;;;;;;;;;;;;;x
mootlander;Mootlander;;;;;;;;;;;;;x
halfling_group;Halfling;;;;;;;;;;;;;x
hexaotl;Hexaotl;;;;;;;;;;;;;x
tlaxtlan;Tlaxtlan;;;;;;;;;;;;;x
xlanhuapec;Xlanhupec;;;;;;;;;;;;;x
itza;Itza;;;;;;;;;;;;;x
zlatlan;Zlatlan;;;;;;;;;;;;;x
lizardman_group;Lizardman;;;;;;;;;;;;;x
chi_an;Chi-An;;;;;;;;;;;;;x
kuj;Kuj;;;;;;;;;;;;;x
man_chu;Man-Chu;;;;;;;;;;;;;x
mung;Mung;;;;;;;;;;;;;x
tong;Tong;;;;;;;;;;;;;x
tu_ka;Tu-Ka;;;;;;;;;;;;;x
wei_tu;Wei Tu;;;;;;;;;;;;;x
wo;Wo;;;;;;;;;;;;;x
yin;Yin;;;;;;;;;;;;;x
hung_group;Hung;;;;;;;;;;;;;x
aghol;Aghol;;;;;;;;;;;;;x
dolgan;Dolgan;;;;;;;;;;;;;x
gharhar;Gharhar;;;;;;;;;;;;;x
hastling;Hastling;;;;;;;;;;;;;x
khazag;Khazag;;;;;;;;;;;;;x
kul;Kul;;;;;;;;;;;;;x
kvellig;Kvellig;;;;;;;;;;;;;x
tahmak;Tahmak;;;;;;;;;;;;;x
tokmar;Tokmar;;;;;;;;;;;;;x
yusak;Yusak;;;;;;;;;;;;;x
kurgan_group;Kurgan;;;;;;;;;;;;;x
cathayan;Cathayan;;;;;;;;;;;;;x
cathayan_group;Cathayan;;;;;;;;;;;;;x
nipponese;Nipponese;;;;;;;;;;;;;x
nipponese_group;Nipponese;;;;;;;;;;;;;x
beastman_main;Beastman;;;;;;;;;;;;;x
beastman_group;Beastman;;;;;;;;;;;;;x
dwarf_main;Dwarf;;;;;;;;;;;;;x
dwarf_imperial;Imperial Dwarf;;;;;;;;;;;;;x
dwarf_norse;Norse Dwarf;;;;;;;;;;;;;x
dwarf_group;Dawi;;;;;;;;;;;;;x
dwarf_chaos;Chaos Dwarf;;;;;;;;;;;;;x
dwarf_chaos_norse;Norse Chaos Dwarf;;;;;;;;;;;;;x
dwarf_chaos_group;Dawi Zharr;;;;;;;;;;;;;x
khemrian;Khemrian;;;;;;;;;;;;;x
canopic;Canopic;;;;;;;;;;;;;x
kashite;Kashite;;;;;;;;;;;;;x
nehekharan_group;Nehekharan;;;;;;;;;;;;;x
ramaccan;Ramaccan;;;;;;;;;;;;;x
medean;Medean;;;;;;;;;;;;;x
tevari;Tevari;;;;;;;;;;;;;x
cophic;Cophic;;;;;;;;;;;;;x
lakugan;Lakugan;;;;;;;;;;;;;x
wasai;Wasai;;;;;;;;;;;;;x
arabyan_group;Arabyan;;;;;;;;;;;;;x
lodringen;Lodringen;;;;;;;;;;;;;x
voragi;Voragi;;;;;;;;;;;;;x
strigany;Strigany;;;;;;;;;;;;;x
lahmian;Lahmian;;;;;;;;;;;;;x
sanguine_group;Sanguine;;;;;;;;;;;;;x
# RELIGIONS
chaos;Chaos Undivided;;;;;;;;;;;;;x
tzeentch;Tzeentchian;;;;;;;;;;;;;x
slaanesh;Slaaneshi;;;;;;;;;;;;;x
khorne;Khornate;;;;;;;;;;;;;x
nurgle;Nurglite;;;;;;;;;;;;;x
chaos_gods_group;Dark Pantheon;;;;;;;;;;;;;x
hashut;Hashut;;;;;;;;;;;;;x
hashut_god_group;Hashut;;;;;;;;;;;;;x
dark_norse;Dark Norse;;;;;;;;;;;;;x
norse;Norse;;;;;;;;;;;;;x
norse_group;Norse;;;;;;;;;;;;;x
sigmarite;Sigmarite;;;;;;;;;;;;;x
northern_gods;Northern;;;;;;;;;;;;;x
ulrican;Ulrican;;;;;;;;;;;;;x
taalite;Taalite;;;;;;;;;;;;;x
classical_gods;Myrmidian;;;;;;;;;;;;;x
old_faith;Old Faith;;;;;;;;;;;;;x
old_world_group;Old World Pantheon;;;;;;;;;;;;;x
lady_of_the_lake;Grail;;;;;;;;;;;;;x
manannite;Manannite;;;;;;;;;;;;;x
stromfels;Stromfels;;;;;;;;;;;;;x
norse_ancestor_gods;Norse Ancestral;;;;;;;;;;;;;x
ancestor_gods;Ancestral;;;;;;;;;;;;;x
