#CODE;ENGLISH;;;;;;;;;;;;;x
EVTDESCHCLT.1;You are a secret servant of Chaos Undivided!;;;;;;;;;;;;;x
EVTDESCHCLT.2;You are a secret servant of Khorne!;;;;;;;;;;;;;x
EVTDESCHCLT.3;You are a secret servant of Nurgle!;;;;;;;;;;;;;x
EVTDESCHCLT.4;You are a secret servant of Slaanesh!;;;;;;;;;;;;;x
EVTDESCHCLT.5;You are a secret servant of Tzeentch!;;;;;;;;;;;;;x
EVTDESCHCLT.21;You are a secret Lahmian vampire!;;;;;;;;;;;;;x
EVTDESCHCLT.22;You are a secret Carstein vampire!;;;;;;;;;;;;;x
EVTDESCHCLT.23;You are a secret Blood Dragon vampire!;;;;;;;;;;;;;x
EVTDESCHCLT.24;You are a secret Strigoi vampire!;;;;;;;;;;;;;x
EVTDESCHCLT.25;You are a secret Necrach vampire!;;;;;;;;;;;;;x
EVTDESCHCLT.26;You are a secret Jade vampire!;;;;;;;;;;;;;x
EVTDESCHCLT.27;You are a secret Mahtmasi vampire!;;;;;;;;;;;;;x
hide_my_cultist;Hide My Cultist;;;;;;;;;;;;;x
