#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PROV1;Endring;;;;;;;;;;;;;x
PROV2;Baelkyr;;;;;;;;;;;;;x
PROV3;Nilfheim;;;;;;;;;;;;;x
PROV4;Uts;;;;;;;;;;;;;x
PROV5;Fjisgard;;;;;;;;;;;;;x
PROV6;Bfavark;;;;;;;;;;;;;x
PROV7;Mount Hellspire;;;;;;;;;;;;;x
PROV8;Finnsvik;;;;;;;;;;;;;x
PROV9;Kaamoas;;;;;;;;;;;;;x
PROV10;Steinvik;;;;;;;;;;;;;x
PROV11;Njyl;;;;;;;;;;;;;x
PROV12;Voltag;;;;;;;;;;;;;x
PROV13;Frost;;;;;;;;;;;;;x
PROV14;Vanaheim;;;;;;;;;;;;;x
PROV15;Raeryl;;;;;;;;;;;;;x
PROV16;Tyronim;;;;;;;;;;;;;x
PROV17;Ksidioc;;;;;;;;;;;;;x
PROV18;Saimaakild;;;;;;;;;;;;;x
PROV19;Iskvard;;;;;;;;;;;;;x
PROV20;Stavgard;;;;;;;;;;;;;x
PROV21;Iisgalt;;;;;;;;;;;;;x
PROV22;Tanngniost;;;;;;;;;;;;;x
PROV23;Trassel;;;;;;;;;;;;;x
PROV24;Turui;;;;;;;;;;;;;x
PROV25;Kraka Borkum;;;;;;;;;;;;;x
PROV26;Kraka Ungrim;;;;;;;;;;;;;x
PROV27;Kraka Uilorag;;;;;;;;;;;;;x
PROV28;Fyodravik;;;;;;;;;;;;;x
PROV29;Mount Barak;;;;;;;;;;;;;x
PROV30;Karag Fyrik;;;;;;;;;;;;;x
PROV31;Yelstir Hills;;;;;;;;;;;;;x
PROV32;Cungnal Hills;;;;;;;;;;;;;x
PROV33;Hragyl;;;;;;;;;;;;;x
PROV34;Eyrir;;;;;;;;;;;;;x
PROV35;Fena;;;;;;;;;;;;;x
PROV36;Aarvik;;;;;;;;;;;;;x
PROV37;Mount Vanir;;;;;;;;;;;;;x
PROV38;Hjemsokt Skog;;;;;;;;;;;;;x
PROV39;Ulfsland;;;;;;;;;;;;;x
PROV40;Birka;;;;;;;;;;;;;x
PROV41;Thimbulvintr;;;;;;;;;;;;;x
PROV42;Tolum;;;;;;;;;;;;;x
PROV43;Ryval Passage;;;;;;;;;;;;;x
PROV44;Fyruval's Passage;;;;;;;;;;;;;x
PROV45;Ikrumal Ravine;;;;;;;;;;;;;x
PROV46;Jaol's Apex;;;;;;;;;;;;;x
PROV47;Cardariborg;;;;;;;;;;;;;x
PROV48;Narvaash;;;;;;;;;;;;;x
PROV49;Teeth of the Kraken;;;;;;;;;;;;;x
PROV50;Novgoborg;;;;;;;;;;;;;x
PROV51;Serulborg;;;;;;;;;;;;;x
PROV52;Norscveg;;;;;;;;;;;;;x
PROV53;Aldeigborg;;;;;;;;;;;;;x
PROV54;Sorg;;;;;;;;;;;;;x
PROV55;Hills of Grofnir;;;;;;;;;;;;;x
PROV56;Lars' Peninsula;;;;;;;;;;;;;x
PROV57;Isle of Gaman;;;;;;;;;;;;;x
PROV58;Kraka Hakut;;;;;;;;;;;;;x
PROV59;Kraka Untylum;;;;;;;;;;;;;x
PROV60;Khazid Untulum;;;;;;;;;;;;;x
PROV61;Drageberg;;;;;;;;;;;;;x
PROV62;Kraka Hyfol;;;;;;;;;;;;;x
PROV63;Morghaar;;;;;;;;;;;;;x
