#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aaargh;Aaargh;;;;;;;;;;;;;x
b_aarnau;Aarnau;;;;;;;;;;;;;x
b_aarvik;Aarvik;;;;;;;;;;;;;x
b_abak;Abak;;;;;;;;;;;;;x
b_abani;Abani;;;;;;;;;;;;;x
b_abaraqa;Abaraqa;;;;;;;;;;;;;x
b_abasco;Abasco;;;;;;;;;;;;;x
b_abazzo;Abazzo;;;;;;;;;;;;;x
b_abbaie_blanche;Abbaie Blanche;;;;;;;;;;;;;x
b_abbranga;Abbranga;;;;;;;;;;;;;x
b_abdanna;Abdanna;;;;;;;;;;;;;x
b_abidys;Abidys;;;;;;;;;;;;;x
b_abogienvik;Abogienvik;;;;;;;;;;;;;x
b_abraqol;Abraqol;;;;;;;;;;;;;x
b_abrasso;Abrasso;;;;;;;;;;;;;x
b_abrige;Abrige;;;;;;;;;;;;;x
b_absath;Absath;;;;;;;;;;;;;x
b_abu_hamed;Abu Hamed;;;;;;;;;;;;;x
b_abu_sidrah;Abu Sidrah;;;;;;;;;;;;;x
b_abuzaq;Abuzaq;;;;;;;;;;;;;x
b_acandosto;Acandosto;;;;;;;;;;;;;x
b_achaes;Achaes;;;;;;;;;;;;;x
b_acra;Acra;;;;;;;;;;;;;x
b_acrebad;Acrebad;;;;;;;;;;;;;x
b_adamas;Adamas ;;;;;;;;;;;;;x
b_adhal;Adhal;;;;;;;;;;;;;x
b_adhallal;Adhallal;;;;;;;;;;;;;x
b_admuat;Admuat;;;;;;;;;;;;;x
b_ados;Ados;;;;;;;;;;;;;x
b_adrenade;Adrenade;;;;;;;;;;;;;x
b_adreno;Adreno;;;;;;;;;;;;;x
b_adryn;Adryn;;;;;;;;;;;;;x
b_adung;Adung;;;;;;;;;;;;;x
b_adygea;Adygea;;;;;;;;;;;;;x
b_aerom;Aerom;;;;;;;;;;;;;x
b_aexinos;Aexinos;;;;;;;;;;;;;x
b_afayan;Afayan;;;;;;;;;;;;;x
b_afenheim;Afenheim;;;;;;;;;;;;;x
b_afensvik;Afensvik;;;;;;;;;;;;;x
b_afreda;Afreda;;;;;;;;;;;;;x
b_afyal;Afyal;;;;;;;;;;;;;x
b_agade;Agade;;;;;;;;;;;;;x
b_agadea;Agadea;;;;;;;;;;;;;x
b_agarthe;Agarthe;;;;;;;;;;;;;x
b_agat;Agat;;;;;;;;;;;;;x
b_agden;Agden;;;;;;;;;;;;;x
b_ageapolis;Ageapolis;;;;;;;;;;;;;x
b_agbeiten;Agbeiten;;;;;;;;;;;;;x
b_agkoramaz;Agkoramaz;;;;;;;;;;;;;x
b_agmoi;Agmoi;;;;;;;;;;;;;x
b_agoras;Agoras;;;;;;;;;;;;;x
b_agosta;Agosta;;;;;;;;;;;;;x
b_ahacco;Ahacco;;;;;;;;;;;;;x
b_ahaus;Ahaus;;;;;;;;;;;;;x
b_ahbou;Ahbou;;;;;;;;;;;;;x
b_ahhiya;Ahhiya;;;;;;;;;;;;;x
b_ahkbit;Ahkbit;;;;;;;;;;;;;x
b_ahlbeck;Ahlbeck;;;;;;;;;;;;;x
b_ahlenhof;Ahlenhof;;;;;;;;;;;;;x
b_ahmose;Ahmose;;;;;;;;;;;;;x
b_ahrensburg;Ahrensburg;;;;;;;;;;;;;x
b_ahresdorf;Ahresdorf;;;;;;;;;;;;;x
b_ahtaf;Ahtaf;;;;;;;;;;;;;x
b_ahtaf_zandri;Ahtaf-Zandri;;;;;;;;;;;;;x
b_aichach;Aichach;;;;;;;;;;;;;x
b_aig;Aig;;;;;;;;;;;;;x
b_aina;Aina;;;;;;;;;;;;;x
b_air;Air;;;;;;;;;;;;;x
b_aix_la_bracque;Aix-la-Bracque;;;;;;;;;;;;;x
b_aix_le_comte;Aix-le-Comte;;;;;;;;;;;;;x
b_akachera;Akachera;;;;;;;;;;;;;x
b_akarun;Akarun;;;;;;;;;;;;;x
b_akendorf;Akendorf;;;;;;;;;;;;;x
b_akhet;Akhet;;;;;;;;;;;;;x
b_akhetan;Akhetan;;;;;;;;;;;;;x
b_akka;Akka;;;;;;;;;;;;;x
b_akkar;Akkar;;;;;;;;;;;;;x
b_akrol_garngol;Akrol Garngol;;;;;;;;;;;;;x
b_akta;Akta;;;;;;;;;;;;;x
b_akur;Akur;;;;;;;;;;;;;x
b_al_akland;al-Aklan'd;;;;;;;;;;;;;x
b_al_alamin;al-Alamin;;;;;;;;;;;;;x
b_al_anaim;al-Anaim;;;;;;;;;;;;;x
b_al_anf;al-Anf;;;;;;;;;;;;;x
b_al_azd;al-Azd;;;;;;;;;;;;;x
b_al_batin;al-Batin;;;;;;;;;;;;;x
b_al_benal;al-Benal;;;;;;;;;;;;;x
b_al_birkah;al-Birkah;;;;;;;;;;;;;x
b_al_habaiq;al-Haba'iq;;;;;;;;;;;;;x
b_al_haikk;al-Haikk;;;;;;;;;;;;;x
b_al_husit;al-Husit;;;;;;;;;;;;;x
b_al_jawarah;al-Jawarah;;;;;;;;;;;;;x
b_al_jijel;al-Jijel;;;;;;;;;;;;;x
b_al_karbal;al-Karbal;;;;;;;;;;;;;x
b_al_mahabas;al-Mahabas;;;;;;;;;;;;;x
b_al_nif;al-Nif;;;;;;;;;;;;;x
b_al_qalat;al-Qalat;;;;;;;;;;;;;x
b_al_qehm;al-Qehm;;;;;;;;;;;;;x
b_al_sahra;al-Sahra;;;;;;;;;;;;;x
b_al_suri;al-Suri;;;;;;;;;;;;;x
b_al_tamir;al-Tamir;;;;;;;;;;;;;x
b_al_tir;al-Tir;;;;;;;;;;;;;x
b_alabreda;Alabreda;;;;;;;;;;;;;x
b_alabrin_rhuvan;Alabrin Rhuvan;;;;;;;;;;;;;x
b_albane;Albane;;;;;;;;;;;;;x
b_albi;Albi;;;;;;;;;;;;;x
b_albusdorf;Albusdorf;;;;;;;;;;;;;x
b_alcazaba;Alcazaba;;;;;;;;;;;;;x
b_aldeigborg;Aldeigborg;;;;;;;;;;;;;x
b_aldente;Aldente;;;;;;;;;;;;;x
b_aldium;Aldium;;;;;;;;;;;;;x
b_alemento;Alemento;;;;;;;;;;;;;x
b_alencon;Alençon;;;;;;;;;;;;;x
b_alenfront;Alenfront;;;;;;;;;;;;;x
b_aleria;Aleria;;;;;;;;;;;;;x
b_alfhausen;Alfhausen;;;;;;;;;;;;;x
b_alfonza;Alfonza;;;;;;;;;;;;;x
b_alfrdrepa_ey;Alfrdrepa Ey;;;;;;;;;;;;;x
b_alhociam;Alhociam;;;;;;;;;;;;;x
b_alibana;Alibana;;;;;;;;;;;;;x
b_alil;Alil;;;;;;;;;;;;;x
b_alitilea;Alitilea;;;;;;;;;;;;;x
b_alkaro;Alkaro;;;;;;;;;;;;;x
b_alkhazzar;Alkhazzar;;;;;;;;;;;;;x
b_almagora;Almagora;;;;;;;;;;;;;x
b_alq;Alq;;;;;;;;;;;;;x
b_alquezaro;Alquézaro;;;;;;;;;;;;;x
b_alsauvre;Alsauvre;;;;;;;;;;;;;x
b_altaeia;Altaeia;;;;;;;;;;;;;x
b_altestadt;Altestadt;;;;;;;;;;;;;x
b_althausen;Althausen;;;;;;;;;;;;;x
b_altlandsberg;Altlandsberg;;;;;;;;;;;;;x
b_altmarkt;Altmarkt;;;;;;;;;;;;;x
b_altona;Altona;;;;;;;;;;;;;x
b_alynd;Alynd;;;;;;;;;;;;;x
b_alzenau;Alzenau;;;;;;;;;;;;;x
b_amaleto;Amaleto;;;;;;;;;;;;;x
b_amalfo;Amalfo;;;;;;;;;;;;;x
b_amargueuse;Amargueuse;;;;;;;;;;;;;x
b_amarot;Amarot;;;;;;;;;;;;;x
b_amatore;Amatore;;;;;;;;;;;;;x
b_ambrak;Ambrak;;;;;;;;;;;;;x
b_amelga;Amelga;;;;;;;;;;;;;x
b_amikus;Amikus;;;;;;;;;;;;;x
b_amisus;Amisus;;;;;;;;;;;;;x
b_amita;Amita;;;;;;;;;;;;;x
b_ammatus;Ammatus;;;;;;;;;;;;;x
b_amonenburg;Amonenburg;;;;;;;;;;;;;x
b_amphit;Amphit;;;;;;;;;;;;;x
b_amur;Amur;;;;;;;;;;;;;x
b_anachwad;Anachwad;;;;;;;;;;;;;x
b_anadovaso;Anadovaso;;;;;;;;;;;;;x
b_anadyr;Anadyr;;;;;;;;;;;;;x
b_anaol;Anaol;;;;;;;;;;;;;x
b_anat;Anat;;;;;;;;;;;;;x
b_anaxia;Anaxia;;;;;;;;;;;;;x
b_anazaba;Anazaba;;;;;;;;;;;;;x
b_anbruges;Anbruges;;;;;;;;;;;;;x
b_anbur;Anbur;;;;;;;;;;;;;x
b_anderona;Anderona;;;;;;;;;;;;;x
b_andjet;Andjet;;;;;;;;;;;;;x
b_andone;Andone;;;;;;;;;;;;;x
b_andreapolis;Andreapolis;;;;;;;;;;;;;x
b_andriks;Andriks;;;;;;;;;;;;;x
b_aneio;Aneio;;;;;;;;;;;;;x
b_angara;Angara;;;;;;;;;;;;;x
b_anges;Anges;;;;;;;;;;;;;x
b_angmar;Angmar;;;;;;;;;;;;;x
b_angra;Angra;;;;;;;;;;;;;x
b_angurbaz;Angurbaz;;;;;;;;;;;;;x
b_anjarre;Anjarre;;;;;;;;;;;;;x
b_ankarath;Ankarath;;;;;;;;;;;;;x
b_ankeeven;Ankeeven;;;;;;;;;;;;;x
b_antak;Antak;;;;;;;;;;;;;x
b_anterna;Anterna;;;;;;;;;;;;;x
b_anthrax;Anthrax;;;;;;;;;;;;;x
b_antonio;Antonio;;;;;;;;;;;;;x
b_antours;Antours;;;;;;;;;;;;;x
b_anu;Anu;;;;;;;;;;;;;x
b_anvar;Anvar;;;;;;;;;;;;;x
b_anx;Anx;;;;;;;;;;;;;x
b_anzarangol;Anzar'angol;;;;;;;;;;;;;x
b_aodagas;Aodagas;;;;;;;;;;;;;x
b_apolino;Apolino;;;;;;;;;;;;;x
b_aponnia;Aponnia;;;;;;;;;;;;;x
b_apsum;Apsum;;;;;;;;;;;;;x
b_aquatreno;Aquatreno;;;;;;;;;;;;;x
b_aquilas;Aquilas;;;;;;;;;;;;;x
b_aquitaine;Aquitaine;;;;;;;;;;;;;x
b_arachnadorf;Arachnadorf;;;;;;;;;;;;;x
b_aralan;Aralan;;;;;;;;;;;;;x
b_aram;Aram;;;;;;;;;;;;;x
b_aramilla;Aramilla;;;;;;;;;;;;;x
b_aramis;Aramis;;;;;;;;;;;;;x
b_aratulizids_rest;Aratulizid's Rest;;;;;;;;;;;;;x
b_arbsu;Arbsu;;;;;;;;;;;;;x
b_arcadia;Arcadia;;;;;;;;;;;;;x
b_arcaulivik;Arcaulivik;;;;;;;;;;;;;x
b_ardhka;Ardhka;;;;;;;;;;;;;x
b_ardzufak_grim;Ardzufak Grim;;;;;;;;;;;;;x
b_arenheim;Arenheim;;;;;;;;;;;;;x
b_arenshausen;Arenshausen;;;;;;;;;;;;;x
b_argalis;Argalis;;;;;;;;;;;;;x
b_argelmarch;Argelmarch;;;;;;;;;;;;;x
b_argelzhuf;Argelzhuf;;;;;;;;;;;;;x
b_argigil;Argigil;;;;;;;;;;;;;x
b_argreinheim;Argreinheim;;;;;;;;;;;;;x
b_argunzol;Argunzol;;;;;;;;;;;;;x
b_aridia;Aridia;;;;;;;;;;;;;x
b_arkhan;Arkhan;;;;;;;;;;;;;x
b_arkkaletumm;Arkkaletumm;;;;;;;;;;;;;x
b_arlasque;Arlasque;;;;;;;;;;;;;x
b_arlequino;Arlequino;;;;;;;;;;;;;x
b_arlingheim;Arlingheim;;;;;;;;;;;;;x
b_armorac;Armorac;;;;;;;;;;;;;x
b_arnalos;Arnalos;;;;;;;;;;;;;x
b_arnimes;Arnîmes;;;;;;;;;;;;;x
b_arnis;Arnis;;;;;;;;;;;;;x
